station_nm,site_no,lat,long,state,STUSAB,StreamOrder,Reservoir,DrainageArea_km2,altitude_m_NAVD88
"ARKANSAS RIVER AT CANON CITY, CO.",7096000,38.43388674,-105.2572128,Colorado,CO,8,None,8073.03,1629.38
"ARKANSAS RIVER AT PORTLAND, CO.",7097000,38.38833418,-105.0160961,Colorado,CO,8,None,10422.16,1531.68
"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",7106000,38.6016647,-104.6702503,Colorado,CO,7,None,1740.48,1633.3
"FOUNTAIN CREEK AT PUEBLO, CO.",7106500,38.2877801,-104.6010849,Colorado,CO,7,None,2395.75,1435.18
"ARKANSAS RIVER NEAR AVONDALE, CO.",7109500,38.24805799,-104.3991356,Colorado,CO,7,Below,16197.86,1375.6
"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.",7119700,38.12583934,-103.9119006,Colorado,CO,9,None,28093.73,1295.25
"S Wichita Rv at Low Flow Dam nr Guthrie, TX",7311782,33.62203029,-100.2089951,Texas,TX,5,Below,577.57,485.73
"W Fk Trinity Rv at Grand Prairie, TX",8049500,32.7625,-96.9944444,Texas,TX,7,None,7938.35,123.54
"Trinity Rv nr Rosser, TX",8062500,32.42652988,-96.4630415,Texas,TX,8,None,21100.73,91.82
"Trinity Rv nr Crockett, TX",8065350,31.33851319,-95.6563407,Texas,TX,8,None,36029.49,44.12
"San Antonio Rv nr Elmendorf, TX",8181800,29.2221853,-98.3558463,Texas,TX,7,Below,4514.37,116.92
COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,9163500,39.13276047,-109.0270546,Colorado,CO,8,None,46228.91,1319.36
"DOLORES RIVER NEAR BEDROCK, CO.",9171100,38.3569337,-108.8334347,Colorado,CO,7,None,5560.73,1497.67
"WALKER RV NR WABUSKA, NV",10301500,39.1524611,-119.0988889,Nevada,NV,6,None,6734,1311.74
SALT SLOUGH A HWY 165 NR STEVINSON CA,11261100,37.24771864,-120.8521446,California,CA,1,None,NA,23.99
"KLAMATH RIVER ABOVE KENO DAM, AT KENO, OR",11509370,42.12792225,-121.9288964,Oregon,OR,4,Above,NA,1245.72
"CEDAR RIVER AT RENTON, WA",12119000,47.4825999,-122.2034547,Washington,WA,6,Above,476.56,5.73
"NORTH FORK TOLT RIVER NEAR CARNATION, WA",12147500,47.71232365,-121.7887272,Washington,WA,5,None,103.341,183.98
"SOUTH FORK TOLT RIVER NEAR INDEX, WA",12147600,47.7067714,-121.6001069,Washington,WA,4,Above,13.727,564.98
"SF TOLT RIVER BL REGULATING BASIN NR CARNATION, WA",12148300,47.69676817,-121.7873379,Washington,WA,6,None,76.664,205.31
"SKAGIT RIVER AT MARBLEMOUNT, WA",12181000,48.5337306,-121.4298499,Washington,WA,7,None,3576.79,94.09
Flathead River at Columbia Falls MT,12363000,48.3618111,-114.18495,Montana,MT,7,Below,11585.07,908.77
"SNAKE RIVER NEAR ANATONE, WA",13334300,46.0970994,-116.9776495,Washington,WA,9,Below,240766.4,247.07
"BULL RUN RIVER NEAR MULTNOMAH FALLS, OR",14138850,45.4981743,-122.0123049,Oregon,OR,5,Above,124.061,330.28
"FIR CREEK NEAR BRIGHTWOOD, OR",14138870,45.48011889,-122.0256385,Oregon,OR,4,Above,14.245,451.1
"NORTH FORK BULL RUN RIVER NEAR MULTNOMAH FALLS, OR",14138900,45.4942856,-122.0359167,Oregon,OR,3,Above,21.497,324.19
"SOUTH FORK BULL RUN RIVER NEAR BULL RUN, OR",14139800,45.444564,-122.1095292,Oregon,OR,5,Above,40.663,302.85
"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",14207200,45.35650877,-122.6850937,Oregon,OR,8,None,1828.54,NA
"ROGUE RIVER BELOW PROSPECT, OR",14330000,42.72957187,-122.516147,Oregon,OR,7,Above,981.61,599.9
"ROGUE RIVER NEAR MCLEOD, OR",14337600,42.6554035,-122.7150408,Oregon,OR,7,Below,2429.42,454.97
"ELK CREEK NEAR TRAIL, OR",14338000,42.6787364,-122.7419867,Oregon,OR,7,None,334.11,456.44
"ROGUE RIVER AT DODGE BRIDGE, NEAR EAGLE POINT, OR",14339000,42.5248471,-122.8428203,Oregon,OR,8,None,3146.85,388.8
"ROGUE RIVER AT RAYGOLD NEAR CENTRAL POINT, OR",14359000,42.43734597,-122.9872678,Oregon,OR,8,None,5317.27,343.02
"APPLEGATE RIVER NEAR APPLEGATE, OR",14366000,42.2415113,-123.1400485,Oregon,OR,7,None,1250.97,392.87
"APPLEGATE RIVER NEAR WILDERVILLE, OR",14369500,42.3540058,-123.4067276,Oregon,OR,7,None,1807.82,289.8
"ROGUE RIVER NEAR AGNESS, OR",14372300,42.5784422,-124.0581443,Oregon,OR,8,None,10202.01,35.79
TERROR R AT MOUTH NR KODIAK AK,15295700,57.69397807,-153.1639087,Alaska,AK,3,None,118.881,10.24
"KLAMATH STRAITS DRAIN NEAR HIGHWAY 97, OR",4.20E+14,42.0808333,-121.85,Oregon,OR,4,Above,NA,1246.02
